,exchange,cal_date,is_open
6500,SSE,20171018,1
6501,SSE,20171019,1
6502,SSE,20171020,1
6503,SSE,20171021,0
6504,SSE,20171022,0
6505,SSE,20171023,1
6506,SSE,20171024,1
6507,SSE,20171025,1
6508,SSE,20171026,1
6509,SSE,20171027,1
6510,SSE,20171028,0
6511,SSE,20171029,0
6512,SSE,20171030,1
6513,SSE,20171031,1
6514,SSE,20171101,1
6515,SSE,20171102,1
6516,SSE,20171103,1
6517,SSE,20171104,0
6518,SSE,20171105,0
6519,SSE,20171106,1
6520,SSE,20171107,1
6521,SSE,20171108,1
6522,SSE,20171109,1
6523,SSE,20171110,1
6524,SSE,20171111,0
6525,SSE,20171112,0
6526,SSE,20171113,1
6527,SSE,20171114,1
6528,SSE,20171115,1
6529,SSE,20171116,1
6530,SSE,20171117,1
6531,SSE,20171118,0
6532,SSE,20171119,0
6533,SSE,20171120,1
6534,SSE,20171121,1
6535,SSE,20171122,1
6536,SSE,20171123,1
6537,SSE,20171124,1
6538,SSE,20171125,0
6539,SSE,20171126,0
6540,SSE,20171127,1
6541,SSE,20171128,1
6542,SSE,20171129,1
6543,SSE,20171130,1
6544,SSE,20171201,1
6545,SSE,20171202,0
6546,SSE,20171203,0
6547,SSE,20171204,1
6548,SSE,20171205,1
6549,SSE,20171206,1
6550,SSE,20171207,1
6551,SSE,20171208,1
6552,SSE,20171209,0
6553,SSE,20171210,0
6554,SSE,20171211,1
6555,SSE,20171212,1
6556,SSE,20171213,1
6557,SSE,20171214,1
6558,SSE,20171215,1
6559,SSE,20171216,0
6560,SSE,20171217,0
6561,SSE,20171218,1
6562,SSE,20171219,1
6563,SSE,20171220,1
6564,SSE,20171221,1
6565,SSE,20171222,1
6566,SSE,20171223,0
6567,SSE,20171224,0
6568,SSE,20171225,1
6569,SSE,20171226,1
6570,SSE,20171227,1
6571,SSE,20171228,1
6572,SSE,20171229,1
6573,SSE,20171230,0
6574,SSE,20171231,0
6575,SSE,20180101,0
6576,SSE,20180102,1
6577,SSE,20180103,1
6578,SSE,20180104,1
6579,SSE,20180105,1
6580,SSE,20180106,0
6581,SSE,20180107,0
6582,SSE,20180108,1
6583,SSE,20180109,1
6584,SSE,20180110,1
6585,SSE,20180111,1
6586,SSE,20180112,1
6587,SSE,20180113,0
6588,SSE,20180114,0
6589,SSE,20180115,1
6590,SSE,20180116,1
6591,SSE,20180117,1
6592,SSE,20180118,1
6593,SSE,20180119,1
6594,SSE,20180120,0
6595,SSE,20180121,0
6596,SSE,20180122,1
6597,SSE,20180123,1
6598,SSE,20180124,1
6599,SSE,20180125,1
6600,SSE,20180126,1
6601,SSE,20180127,0
6602,SSE,20180128,0
6603,SSE,20180129,1
6604,SSE,20180130,1
6605,SSE,20180131,1
6606,SSE,20180201,1
6607,SSE,20180202,1
6608,SSE,20180203,0
6609,SSE,20180204,0
6610,SSE,20180205,1
6611,SSE,20180206,1
6612,SSE,20180207,1
6613,SSE,20180208,1
6614,SSE,20180209,1
6615,SSE,20180210,0
6616,SSE,20180211,0
6617,SSE,20180212,1
6618,SSE,20180213,1
6619,SSE,20180214,1
6620,SSE,20180215,0
6621,SSE,20180216,0
6622,SSE,20180217,0
6623,SSE,20180218,0
6624,SSE,20180219,0
6625,SSE,20180220,0
6626,SSE,20180221,0
6627,SSE,20180222,1
6628,SSE,20180223,1
6629,SSE,20180224,0
6630,SSE,20180225,0
6631,SSE,20180226,1
6632,SSE,20180227,1
6633,SSE,20180228,1
6634,SSE,20180301,1
6635,SSE,20180302,1
6636,SSE,20180303,0
6637,SSE,20180304,0
6638,SSE,20180305,1
6639,SSE,20180306,1
6640,SSE,20180307,1
6641,SSE,20180308,1
6642,SSE,20180309,1
6643,SSE,20180310,0
6644,SSE,20180311,0
6645,SSE,20180312,1
6646,SSE,20180313,1
6647,SSE,20180314,1
6648,SSE,20180315,1
6649,SSE,20180316,1
6650,SSE,20180317,0
6651,SSE,20180318,0
6652,SSE,20180319,1
6653,SSE,20180320,1
6654,SSE,20180321,1
6655,SSE,20180322,1
6656,SSE,20180323,1
6657,SSE,20180324,0
6658,SSE,20180325,0
6659,SSE,20180326,1
6660,SSE,20180327,1
6661,SSE,20180328,1
6662,SSE,20180329,1
6663,SSE,20180330,1
6664,SSE,20180331,0
6665,SSE,20180401,0
6666,SSE,20180402,1
6667,SSE,20180403,1
6668,SSE,20180404,1
6669,SSE,20180405,0
6670,SSE,20180406,0
6671,SSE,20180407,0
6672,SSE,20180408,0
6673,SSE,20180409,1
6674,SSE,20180410,1
6675,SSE,20180411,1
6676,SSE,20180412,1
6677,SSE,20180413,1
6678,SSE,20180414,0
6679,SSE,20180415,0
6680,SSE,20180416,1
6681,SSE,20180417,1
6682,SSE,20180418,1
6683,SSE,20180419,1
6684,SSE,20180420,1
6685,SSE,20180421,0
6686,SSE,20180422,0
6687,SSE,20180423,1
6688,SSE,20180424,1
6689,SSE,20180425,1
6690,SSE,20180426,1
6691,SSE,20180427,1
6692,SSE,20180428,0
6693,SSE,20180429,0
6694,SSE,20180430,0
6695,SSE,20180501,0
6696,SSE,20180502,1
6697,SSE,20180503,1
6698,SSE,20180504,1
6699,SSE,20180505,0
6700,SSE,20180506,0
6701,SSE,20180507,1
6702,SSE,20180508,1
6703,SSE,20180509,1
6704,SSE,20180510,1
6705,SSE,20180511,1
6706,SSE,20180512,0
6707,SSE,20180513,0
6708,SSE,20180514,1
6709,SSE,20180515,1
6710,SSE,20180516,1
6711,SSE,20180517,1
6712,SSE,20180518,1
6713,SSE,20180519,0
6714,SSE,20180520,0
6715,SSE,20180521,1
6716,SSE,20180522,1
6717,SSE,20180523,1
6718,SSE,20180524,1
6719,SSE,20180525,1
6720,SSE,20180526,0
6721,SSE,20180527,0
6722,SSE,20180528,1
6723,SSE,20180529,1
6724,SSE,20180530,1
6725,SSE,20180531,1
6726,SSE,20180601,1
6727,SSE,20180602,0
6728,SSE,20180603,0
6729,SSE,20180604,1
6730,SSE,20180605,1
6731,SSE,20180606,1
6732,SSE,20180607,1
6733,SSE,20180608,1
6734,SSE,20180609,0
6735,SSE,20180610,0
6736,SSE,20180611,1
6737,SSE,20180612,1
6738,SSE,20180613,1
6739,SSE,20180614,1
6740,SSE,20180615,1
6741,SSE,20180616,0
6742,SSE,20180617,0
6743,SSE,20180618,0
6744,SSE,20180619,1
6745,SSE,20180620,1
6746,SSE,20180621,1
6747,SSE,20180622,1
6748,SSE,20180623,0
6749,SSE,20180624,0
6750,SSE,20180625,1
6751,SSE,20180626,1
6752,SSE,20180627,1
6753,SSE,20180628,1
6754,SSE,20180629,1
6755,SSE,20180630,0
6756,SSE,20180701,0
6757,SSE,20180702,1
6758,SSE,20180703,1
6759,SSE,20180704,1
6760,SSE,20180705,1
6761,SSE,20180706,1
6762,SSE,20180707,0
6763,SSE,20180708,0
6764,SSE,20180709,1
6765,SSE,20180710,1
6766,SSE,20180711,1
6767,SSE,20180712,1
6768,SSE,20180713,1
6769,SSE,20180714,0
6770,SSE,20180715,0
6771,SSE,20180716,1
6772,SSE,20180717,1
6773,SSE,20180718,1
6774,SSE,20180719,1
6775,SSE,20180720,1
6776,SSE,20180721,0
6777,SSE,20180722,0
6778,SSE,20180723,1
6779,SSE,20180724,1
6780,SSE,20180725,1
6781,SSE,20180726,1
6782,SSE,20180727,1
6783,SSE,20180728,0
6784,SSE,20180729,0
6785,SSE,20180730,1
6786,SSE,20180731,1
6787,SSE,20180801,1
6788,SSE,20180802,1
6789,SSE,20180803,1
6790,SSE,20180804,0
6791,SSE,20180805,0
6792,SSE,20180806,1
6793,SSE,20180807,1
6794,SSE,20180808,1
6795,SSE,20180809,1
6796,SSE,20180810,1
6797,SSE,20180811,0
6798,SSE,20180812,0
6799,SSE,20180813,1
6800,SSE,20180814,1
6801,SSE,20180815,1
6802,SSE,20180816,1
6803,SSE,20180817,1
6804,SSE,20180818,0
6805,SSE,20180819,0
6806,SSE,20180820,1
6807,SSE,20180821,1
6808,SSE,20180822,1
6809,SSE,20180823,1
6810,SSE,20180824,1
6811,SSE,20180825,0
6812,SSE,20180826,0
6813,SSE,20180827,1
6814,SSE,20180828,1
6815,SSE,20180829,1
6816,SSE,20180830,1
6817,SSE,20180831,1
6818,SSE,20180901,0
6819,SSE,20180902,0
6820,SSE,20180903,1
6821,SSE,20180904,1
6822,SSE,20180905,1
6823,SSE,20180906,1
6824,SSE,20180907,1
6825,SSE,20180908,0
6826,SSE,20180909,0
6827,SSE,20180910,1
6828,SSE,20180911,1
6829,SSE,20180912,1
6830,SSE,20180913,1
6831,SSE,20180914,1
6832,SSE,20180915,0
6833,SSE,20180916,0
6834,SSE,20180917,1
6835,SSE,20180918,1
6836,SSE,20180919,1
6837,SSE,20180920,1
6838,SSE,20180921,1
6839,SSE,20180922,0
6840,SSE,20180923,0
6841,SSE,20180924,0
6842,SSE,20180925,1
6843,SSE,20180926,1
6844,SSE,20180927,1
6845,SSE,20180928,1
6846,SSE,20180929,0
6847,SSE,20180930,0
6848,SSE,20181001,0
6849,SSE,20181002,0
6850,SSE,20181003,0
6851,SSE,20181004,0
6852,SSE,20181005,0
6853,SSE,20181006,0
6854,SSE,20181007,0
6855,SSE,20181008,1
6856,SSE,20181009,1
6857,SSE,20181010,1
6858,SSE,20181011,1
