,Unnamed: 0,Unnamed: 0.1,open,high,low,adjclose,amount,volume,str07,pct_index_300,pct_vol_300,adjclose_8,true_adjclose_8,buy_profit,sell_profit
1710.0,1710,2012-03-21,4.92,4.94,4.8,4.86,29564856.0,6076603,65536,0.12923445994312832,-0.1919001880181681,4.897755,4.55,0.0,-0.03775514602661101
1712.0,1712,2012-03-23,4.87,4.87,4.64,4.7,30901352.0,6505126,65536,-1.1924528301886728,-3.5558326385175643,5.069921,4.5,0.0,-0.36992101669311506
1714.0,1714,2012-03-27,4.71,4.75,4.67,4.68,13008103.0,2763255,65536,-0.3247972951820555,12.975753146721349,5.0755873,4.62,0.0,-0.39558727264404325
1719.0,1719,2012-04-06,4.55,4.6,4.51,4.56,12170621.0,2676288,65536,0.2785703768261261,-22.01866288451525,5.804464,5.88,1.2444638633728031,0.0
1721.0,1721,2012-04-10,4.48,4.58,4.4,4.57,14688923.0,3277390,65536,0.9875157806143786,16.863875380799385,6.196453,5.9,1.6264530944824216,0.0
1722.0,1722,2012-04-11,4.49,4.65,4.46,4.62,23335982.0,5089385,65536,0.009921461709105905,2.8411256509322858,6.378095,6.34,1.7580951499938964,0.0
1727.0,1727,2012-04-18,5.28,5.9,5.23,5.88,523216064.0,91189881,65536,2.2829559223881413,55.19683519973454,6.1622324,6.29,0.2822323989868165,0.0
1730.0,1730,2012-04-23,5.78,6.39,5.73,6.34,557546304.0,91040152,65536,-0.7918259201169509,-4.526614985726008,5.680788,5.79,0.0,0.659211959838867
1733.0,1733,2012-04-26,6.29,6.46,6.06,6.21,494826208.0,78592842,65536,0.20944481890639025,-5.606683467467767,5.5184565,5.66,0.0,0.6915435409545898
1734.0,1734,2012-04-27,6.14,6.65,6.0,6.51,620576512.0,96822349,65536,-0.20254684608339568,-18.20055897951599,5.488843,5.48,0.0,1.0211570358276365
1735.0,1735,2012-05-02,6.69,6.69,6.15,6.29,544626112.0,86269213,65536,2.1830353063027275,66.1677280225443,5.5295243,5.51,0.0,0.7604756736755371
1742.0,1742,2012-05-11,5.63,5.66,5.47,5.48,86085888.0,15514526,65536,-0.7635828557020274,-12.683360895705553,5.2318206,5.22,0.0,0.24817941665649457
1745.0,1745,2012-05-16,5.63,5.76,5.58,5.59,92525528.0,16326921,65536,-1.6321727535655972,-5.434007633970571,5.322046,5.41,0.0,0.2679541969299315
1754.0,1754,2012-05-30,5.39,5.48,5.36,5.42,47384304.0,8742592,65536,-0.324047003791228,-28.113983383830103,5.0284867,5.04,0.0,0.39151327133178704
1759.0,1759,2012-06-06,5.03,5.05,4.94,4.96,24626760.0,4938202,65536,-0.056275499835867215,-10.381750512375486,5.086297,5.03,0.1262970352172852,0.0
1768.0,1768,2012-06-19,5.03,5.11,5.01,5.06,26909760.0,5320998,65536,-0.8751709469589919,-8.385460284395863,4.764427,4.91,0.0,0.29557281494140586
1770.0,1770,2012-06-21,4.96,5.02,4.91,4.91,22345088.0,4509491,65536,-1.5834773036225709,18.579478315355328,4.7212143,4.89,0.0,0.1887857055664064
1772.0,1772,2012-06-26,4.82,4.84,4.71,4.78,18965988.0,3970540,65536,-0.06513278947454237,-20.876112204097396,4.631276,4.77,0.0,0.14872386932373072
