,Unnamed: 0,open,high,low,adjclose,amount,volume,str07,adjclose_4,true_adjclose_4,buy_profit,sell_profit
2699.0,2011-08-02,37.15,37.15,36.28,36.86,88911408.0,2428953,65536,37.142654,36.43,0.0,-0.28265441894531307
2703.0,2011-08-08,36.0,36.78,35.33,36.43,150891904.0,4163251,65536,36.408485,38.76,-0.021514587402343466,0.0
2704.0,2011-08-09,36.0,38.0,35.4,37.3,197003792.0,5367203,65536,36.718956,38.65,-0.5810440063476534,0.0
2707.0,2011-08-12,38.99,39.35,38.48,38.76,179949328.0,4634058,65536,38.78545,37.15,0.0,-0.025449981689455115
2723.0,2011-09-05,33.9,34.35,33.6,34.2,55929432.0,1638846,65536,34.09459,34.4,-0.10541076660156534,0.0
2733.0,2011-09-20,33.94,34.2,33.75,33.9,27167122.0,801387,65536,34.030224,31.85,0.0,-0.1302238464355483
2734.0,2011-09-21,33.71,34.51,33.68,34.2,40896192.0,1199031,65536,34.091324,32.49,0.0,0.10867614746094034
2739.0,2011-09-28,32.39,32.57,32.0,32.3,25454078.0,786469,65536,32.24813,32.17,0.0,0.05186920166015341
2746.0,2011-10-14,33.54,33.9,33.11,33.81,65062968.0,1934508,65536,33.41334,32.62,0.0,0.3966584777832054
2747.0,2011-10-17,33.93,34.39,33.44,33.5,56597852.0,1672763,65536,33.70569,32.83,0.0,-0.2056884765625
2754.0,2011-10-26,34.18,34.48,34.0,34.22,25798858.0,752530,65536,34.075882,33.39,0.0,0.14411804199218636
2758.0,2011-11-01,33.36,33.83,33.33,33.39,81724616.0,2434604,65536,33.54738,34.77,0.15737854003906193,0.0
2762.0,2011-11-07,34.1,35.09,34.0,34.77,116044760.0,3337844,65536,34.600315,35.87,-0.1696849060058625,0.0
2767.0,2011-11-14,36.0,36.5,35.78,35.99,50910552.0,1409985,65536,36.044037,35.02,0.0,-0.05403686523437301
2768.0,2011-11-15,35.85,36.13,35.71,35.73,37767948.0,1052109,65536,36.005787,36.09,0.27578689575195625,0.0
2773.0,2011-11-22,35.99,36.46,35.79,36.42,61636064.0,1699390,65536,36.158394,36.36,0.0,0.26160614013672046
2776.0,2011-11-25,36.11,36.68,35.48,35.5,59345932.0,1643705,65536,36.173542,35.52,0.6735420227050781,0.0
2787.0,2011-12-12,33.6,33.63,32.82,32.99,87616032.0,2639508,65536,33.407806,33.17,0.417806396484373,0.0
2789.0,2011-12-14,31.19,32.97,31.19,32.62,49458536.0,1516501,65536,32.18726,33.68,-0.4327403259277318,0.0
2790.0,2011-12-15,32.13,33.44,32.13,33.18,34832240.0,1059933,65536,32.6176,33.37,-0.5624005126953122,0.0
2791.0,2011-12-16,33.1,33.49,32.7,33.17,38759476.0,1176164,65536,33.02005,33.16,0.0,0.1499499511718767
2793.0,2011-12-20,33.44,33.94,33.3,33.68,38064968.0,1132648,65536,33.480156,32.99,0.0,0.19984405517578097
2804.0,2012-01-06,30.79,31.34,29.9,30.91,63770156.0,2088303,65536,30.923882,31.95,0.013881530761718608,0.0
2806.0,2012-01-10,31.58,32.7,30.95,32.43,102208576.0,3217244,65536,31.740013,30.93,0.0,0.689986877441406
2808.0,2012-01-12,32.3,32.49,31.91,31.95,41288324.0,1285584,65536,32.26441,31.6,0.0,-0.31440811157226634
2809.0,2012-01-13,32.27,32.29,31.2,31.62,32636514.0,1031213,65536,31.955215,32.08,0.3352154541015615,0.0
2812.0,2012-01-18,31.98,32.23,31.2,31.6,42107116.0,1330113,65536,31.554846,31.7,-0.045154190063477984,0.0
2813.0,2012-01-19,31.84,32.4,31.33,32.08,48434768.0,1513240,65536,31.805449,31.419999999999998,0.0,0.2745514678955061
2815.0,2012-01-30,31.9,32.75,31.9,32.38,62969096.0,1953072,65536,32.29334,31.88,0.0,0.08666122436523693
2820.0,2012-02-06,32.0,32.07,31.59,31.67,60418072.0,1900517,65536,31.818583,31.46,0.0,-0.14858253479003736
2822.0,2012-02-08,31.19,31.72,30.5,31.46,83895816.0,2709222,65536,31.373365,32.06,-0.08663459777832117,0.0
2825.0,2012-02-13,31.33,32.32,31.23,32.28,121938248.0,3819295,65536,31.853697,33.45,-0.42630317687988395,0.0
2826.0,2012-02-14,32.27,32.48,31.72,32.06,67260600.0,2103912,65536,32.076305,32.87,0.0163053894042946,0.0
2831.0,2012-02-21,33.0,33.14,32.56,33.04,36531304.0,1114286,65536,33.043907,33.94,0.003907165527344603,0.0
2834.0,2012-02-24,33.1,33.23,32.77,33.15,118992648.0,3608565,65536,33.13624,33.79,-0.013761901855467329,0.0
2838.0,2012-03-01,33.73,34.03,33.73,33.79,37440308.0,1105171,65536,33.991615,33.14,0.0,-0.2016152954101571
2844.0,2012-03-09,33.4,34.25,33.39,33.97,95914904.0,2834391,65536,33.700253,34.04,-0.2697474670410145,0.0
2846.0,2012-03-13,34.0,34.79,34.0,34.75,75616616.0,2195307,65536,34.435387,35.12,-0.31461334228515625,0.0
